,group,cell_name,sweep_num,input_current,rest_potential,stim_potential,t_first_spike,t_last_spike,f_rate,AP_amp,AP_adaptation,AP_rise_slope,t_hyperpol,v_hyperpol
107,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,3,200.0,-70.1053237915039,-50.326255798339844,11.299999999999997,470.4000000000001,47.91984317142233,35.57335529985894,74.93143107338895,180.88601684570312,0.8000000000000003,-68.0909090909091
108,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,4,400.0,-71.02802276611328,-45.76162338256836,4.299999999999997,493.9,112.33660130718953,34.4304291032984,58.98088192148191,167.88412475585938,0.8166666666666664,-64.96296296296296
109,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,5,600.0,-70.8520736694336,-42.43349838256836,2.6999999999999886,494.19999999999993,166.83621566632758,34.64150870835115,64.74227602834613,157.93589782714844,0.8358024691358027,-61.76543209876543
110,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,6,800.0,-71.10688781738281,-39.69392013549805,1.9000000000000057,496.19999999999993,202.30629172567268,32.534980918431735,106.57237421397289,147.48382568359375,0.865656565656566,-58.84848484848485
111,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,7,1000.0,-71.3033218383789,-37.010398864746094,1.5,497.19999999999993,225.94311075247128,32.343227750963266,107.31840827849291,136.44287109375,0.8720720720720724,-55.88288288288288
112,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,8,1200.0,-70.75028228759766,-34.07159423828125,1.2999999999999972,498.4,239.38845302755985,32.118874610454384,99.83077153342157,125.26248168945312,0.9245762711864411,-52.61864406779661
113,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,9,1400.0,-70.64462280273438,-31.631378173828125,1.0,496.70000000000005,252.1686503933831,31.206912190176922,123.35434105042475,113.360595703125,0.9080645161290326,-49.53225806451613
114,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,10,1600.0,-70.33728790283203,-29.363262176513672,0.8999999999999915,496.70000000000005,262.20250100847113,31.413660627088653,112.04606573873139,102.52027893066406,0.9232558139534885,-46.78294573643411
115,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,11,1800.0,-70.29869079589844,-27.05396842956543,0.7999999999999972,496.4,266.3438256658596,30.571211556431958,113.34455853113721,89.1130599975586,0.9557251908396948,-43.732824427480914
116,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,12,2000.0,-70.322509765625,-24.653547286987305,0.7999999999999972,497.5,273.80712703845376,29.263484135574,153.8702744025903,74.98685455322266,0.942962962962963,-40.592592592592595
117,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,0,-400.0,-87.6981201171875,-122.44397735595703,,,0,,,,,
118,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1,-200.0,-87.56045532226562,-109.88103485107422,,,0,,,,,
119,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,2,0.0,-87.80781555175781,-87.80781555175781,,,0,,,,,
120,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,3,200.0,-89.34798431396484,-56.195762634277344,,,0,,,,,
121,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,4,400.0,-88.92072296142578,-45.76306915283203,5.799999999999997,288.9,45.92016955139526,24.356804820508458,5427.765774821586,145.82472229003906,1.0916666666666668,-70.08333333333333
122,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,5,600.0,-89.20706176757812,-45.71903610229492,3.4000000000000057,498.20000000000005,125.30315278900564,25.15303448212164,2536.772119573153,116.23875427246094,1.1383333333333334,-64.88333333333334
123,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,6,800.0,-89.8514175415039,-42.15031433105469,2.5,493.9,166.87016687016688,19.058193466832307,4288.474898779175,101.23853302001953,1.1412499999999999,-60.6125
124,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,7,1000.0,-89.46907806396484,-38.08840560913086,2.0,466.70000000000005,197.97718958467829,22.590116641662572,713.4522422019279,83.51202392578125,1.1606741573033708,-56.38202247191011
125,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,8,1200.0,-90.44129180908203,-32.96246337890625,1.6999999999999886,338.6,222.6179875333927,23.18540343409997,422.9490377110156,70.66487121582031,1.1625000000000003,-52.02777777777778
126,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,9,1400.0,-89.96648406982422,-28.507400512695312,1.3999999999999915,196.99999999999994,250.51124744376284,24.701877630144885,308.4164929249999,68.95602416992188,1.1478260869565218,-49.108695652173914
127,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,10,1600.0,-89.38920593261719,-25.220191955566406,1.2999999999999972,135.2,268.857356235997,27.00488582217642,285.66956562162085,64.8634262084961,1.1235294117647059,-45.73529411764706
128,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,11,1800.0,-86.61367797851562,-22.53605842590332,1.1000000000000085,90.60000000000001,290.5027932960894,28.45392934137722,186.27745709565062,67.40922546386719,1.065217391304348,-44.608695652173914
129,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,12,2000.0,-89.25949096679688,-20.01088523864746,1.1000000000000085,76.7,304.23280423280426,29.53761136578839,77.06127104093895,62.815792083740234,1.0636363636363635,-40.63636363636363
130,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,0,-400.0,-71.57417297363281,-102.45512390136719,,,0,,,,,
131,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1,-200.0,-71.57147979736328,-90.61497497558594,,,0,,,,,
132,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,2,0.0,-71.49175262451172,-71.49175262451172,,,0,,,,,
133,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,3,200.0,-71.28214263916016,-47.91801834106445,,,0,,,,,
