,group,cell_name,input_current,f_rate,t_last_spike,R,Tau,sweep,rest_potential
92,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,-200.0,0.0,,73.3334,3.95664,1,-72.04527165339543
93,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,0.0,0.0,,73.3334,3.95664,2,-72.04527165339543
94,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,200.0,0.0,,73.3334,3.95664,3,-72.04527165339543
95,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,400.0,62.583817612874384,230.3,73.3334,3.95664,4,-72.04527165339543
96,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,600.0,115.3846153846154,497.9,73.3334,3.95664,5,-72.04527165339543
97,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,800.0,142.7988576091391,493.1,73.3334,3.95664,6,-72.04527165339543
98,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1000.0,162.9327902240326,493.3,73.3334,3.95664,7,-72.04527165339543
99,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1200.0,186.7572156196944,296.4000000000001,73.3334,3.95664,8,-72.04527165339543
100,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1400.0,205.2785923753666,172.09999999999997,73.3334,3.95664,9,-72.04527165339543
101,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1600.0,222.40527182866558,122.8,73.3334,3.95664,10,-72.04527165339543
102,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,1800.0,248.11218985976262,94.0,73.3334,3.95664,11,-72.04527165339543
103,Naive DLS,20190301_PV_DLS_s3c1_0000.abf,2000.0,540.5948553054661,498.80000000000007,73.3334,3.95664,12,-72.04527165339543
104,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,-400.0,0.0,,86.2735,7.45893,0,-70.59708932729868
105,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,-200.0,0.0,,86.2735,7.45893,1,-70.59708932729868
106,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,0.0,0.0,,86.2735,7.45893,2,-70.59708932729868
107,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,200.0,47.91984317142233,470.40000000000015,86.2735,7.45893,3,-70.59708932729868
108,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,400.0,112.33660130718953,493.9,86.2735,7.45893,4,-70.59708932729868
109,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,600.0,166.8362156663276,494.19999999999993,86.2735,7.45893,5,-70.59708932729868
110,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,800.0,202.30629172567268,496.19999999999993,86.2735,7.45893,6,-70.59708932729868
111,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1000.0,225.94311075247128,497.19999999999993,86.2735,7.45893,7,-70.59708932729868
112,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1200.0,239.38845302755985,498.4,86.2735,7.45893,8,-70.59708932729868
113,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1400.0,252.1686503933831,496.7000000000001,86.2735,7.45893,9,-70.59708932729868
114,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1600.0,262.20250100847113,496.7000000000001,86.2735,7.45893,10,-70.59708932729868
115,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,1800.0,266.3438256658596,496.4,86.2735,7.45893,11,-70.59708932729868
116,Naive DLS,20190227_PV_DLS_s2c2_0000.abf,2000.0,273.80712703845376,497.5,86.2735,7.45893,12,-70.59708932729868
117,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,-400.0,0.0,,111.366,4.41637,0,-88.88713895357571
118,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,-200.0,0.0,,111.366,4.41637,1,-88.88713895357571
119,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,0.0,0.0,,111.366,4.41637,2,-88.88713895357571
120,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,200.0,0.0,,111.366,4.41637,3,-88.88713895357571
121,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,400.0,45.920169551395254,288.9,111.366,4.41637,4,-88.88713895357571
122,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,600.0,125.69544611580463,488.7000000000001,111.366,4.41637,5,-88.88713895357571
123,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,800.0,164.83516483516485,493.9,111.366,4.41637,6,-88.88713895357571
124,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1000.0,198.8510826336721,454.6,111.366,4.41637,7,-88.88713895357571
125,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1200.0,223.5150030618493,328.3,111.366,4.41637,8,-88.88713895357571
126,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1400.0,251.7407605784681,188.1,111.366,4.41637,9,-88.88713895357571
127,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1600.0,269.8535080956052,131.0,111.366,4.41637,10,-88.88713895357571
128,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,1800.0,293.75764993880045,82.80000000000003,111.366,4.41637,11,-88.88713895357571
129,Naive DLS,20190215_PV_DLS_s1c2_0000.abf,2000.0,304.23280423280426,76.7,111.366,4.41637,12,-88.88713895357571
130,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,-400.0,0.0,,94.7123,4.98954,0,-72.16598452054538
131,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,-200.0,0.0,,94.7123,4.98954,1,-72.16598452054538
132,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,0.0,0.0,,94.7123,4.98954,2,-72.16598452054538
133,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,200.0,0.0,,94.7123,4.98954,3,-72.16598452054538
134,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,400.0,27.881040892193308,218.9,94.7123,4.98954,4,-72.16598452054538
135,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,600.0,203.1488065007618,199.1,94.7123,4.98954,5,-72.16598452054538
136,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,800.0,232.55813953488368,496.1,94.7123,4.98954,6,-72.16598452054538
137,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1000.0,256.46203554119546,496.6,94.7123,4.98954,7,-72.16598452054538
138,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1200.0,266.720549605981,496.1,94.7123,4.98954,8,-72.16598452054538
139,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1400.0,272.56208358570564,496.3,94.7123,4.98954,9,-72.16598452054538
140,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1600.0,286.13138686131384,343.4,94.7123,4.98954,10,-72.16598452054538
141,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,1800.0,308.90052356020936,191.8,94.7123,4.98954,11,-72.16598452054538
142,Naive DLS,20190227_PV_DLS_s2c1_0000.abf,2000.0,324.8811410459588,127.0,94.7123,4.98954,12,-72.16598452054538
143,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,-400.0,0.0,,140.676,5.09229,0,-71.24809089073769
144,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,-200.0,0.0,,140.676,5.09229,1,-71.24809089073769
145,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,0.0,0.0,,140.676,5.09229,2,-71.24809089073769
146,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,200.0,29.15451895043732,429.8,140.676,5.09229,3,-71.24809089073769
147,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,400.0,135.02619911326082,499.0,140.676,5.09229,4,-71.24809089073769
148,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,600.0,188.8687964637332,499.6,140.676,5.09229,5,-71.24809089073769
149,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,800.0,220.29528943051318,428.2000000000001,140.676,5.09229,6,-71.24809089073769
150,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,1000.0,226.1513157894737,244.5,140.676,5.09229,7,-71.24809089073769
151,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,1200.0,269.5763799743261,156.89999999999995,140.676,5.09229,8,-71.24809089073769
152,Naive DLS,20190227_PV_DLS_s1c2_0000.abf,1400.0,165.30612244897958,491.0,140.676,5.09229,9,-71.24809089073769
